grupo,inversor,n,mean_gap,mean_abs_gap,corr_gap_surprise,lambda_hat,migraciones,perfil_final,riqueza_final
logico,0,3,-0.001653353043498118,0.07593333605916379,0.38844457225232776,1.7186139613060325,2,Guardian,1.564646402332189
logico,1,6,0.04127587535228636,0.05519260634665015,-0.5115603823834602,1.7185825603006006,2,Guardian,1.9022600649350578
logico,2,5,0.03010148408383121,0.03200838415357928,-0.19805453101903656,1.8459804079913442,3,Guardian,1.963998910015062
logico,3,4,-0.0018499925435262188,0.06124117126123832,-0.29765282499690754,-0.0813995735847927,2,Guardian,1.5695717455162113
logico,4,4,-0.02465091263405092,0.08861022180771452,-0.6477150683423607,11.72844177993487,2,Guardian,1.5836700459952542
logico,5,4,-0.01022445899127189,0.05874961651998445,0.06963770263270946,-2.3847117179380333,2,Guardian,1.5482936197671244
logico,6,3,0.030717276859330622,0.030717276859330622,-0.4614357818123933,1.742386211517496,4,Guardian,2.0505238407095012
logico,7,5,0.07954863289850189,0.07954863289850189,-0.7487079362047269,1.1660956796767006,4,Guardian,1.6005731207983718
logico,8,3,-0.046722474917281286,0.046722474917281286,-0.19807400881445608,3.609569550066887,2,Guardian,1.6808882694741902
logico,9,3,-0.04799638728391085,0.04799638728391085,0.5837369989971505,3.155428581779825,2,Guardian,1.8320004677914505
logico,10,4,0.010846393955719902,0.02508022603898835,0.529277615074105,1.840950275086649,2,Guardian,1.5836700459952542
logico,11,3,-0.0060950576549444095,0.06266119672683912,0.4460790676308945,1.977802067129993,2,Guardian,1.642534603627533
logico,12,4,0.010494959406027196,0.04264905758335254,0.9143375448499672,1.4100463091103839,4,Guardian,1.9233050387037431
logico,13,4,0.009670953733988949,0.04657141051187334,0.8451578872449674,1.5230113571964847,3,Guardian,1.9173626374721264
logico,14,3,-0.004421736115156394,0.05224676908229372,-0.03110042299149367,3.160393670991636,2,Guardian,1.5322073633808626
logico,15,3,-0.0490831978014273,0.0490831978014273,-0.3899587752211543,-7.848025407318123,2,Guardian,1.7376971115114788
logico,16,4,-0.06107138870030662,0.06107138870030662,0.8963604019240162,3.225794176721536,3,Guardian,1.9473555483165124
logico,17,7,0.0698005924571232,0.0698005924571232,-0.7667796014890628,0.743989737035596,4,Guardian,1.7280970700501597
logico,18,4,0.004214343767611012,0.03364100146565793,-0.48942681946582317,2.4691968575254983,4,Guardian,1.62651695032326
logico,19,4,-0.027009392424281936,0.04205664385399058,0.5859937682520459,511.3877393724308,3,Guardian,1.8369373911089781
logico,20,4,-0.002902304751742746,0.04227116625676958,-0.3240466548846785,2.5283949486876507,3,Guardian,1.933984960189021
logico,21,3,-0.030436490792678572,0.030436490792678572,0.4712308664275052,2.622562965744301,3,Guardian,1.833545063245311
logico,22,4,-0.03869349501653055,0.03869349501653055,-0.4677989704068255,5.453533662906573,2,Guardian,1.72045859371356
logico,23,4,-0.027672042033221947,0.027672042033221947,-0.33283491693413225,3.2569849055167888,3,Guardian,1.8123181265191095
logico,24,4,-0.0028365374989286624,0.07486650125436105,0.5930911667254603,1.2812979488396583,3,Guardian,1.8705556434300794
logico,25,4,0.004085465758959572,0.049368636468317184,-0.15966825212866384,2.4835891981297826,4,Guardian,1.8384045981102781
logico,26,3,-0.012688010405579117,0.041504635644579124,-0.5733852319005895,3.5428395330836118,2,Guardian,1.998199077157189
logico,27,4,-0.04367412023824763,0.05746275080159985,-0.3036173733426282,-0.12118141613203841,2,Guardian,1.5695717455162113
logico,28,3,-0.016177322732933246,0.04235074839462063,0.12621109609475978,2.6187317784000275,2,Guardian,1.9894306392740901
logico,29,3,-0.027228259404190918,0.032907988529606025,0.8126866144016607,2.3593717322441528,3,Guardian,1.9330225605070597
emocional,0,1,-0.16933651682240725,0.16933651682240725,0.0,,2,Guardian,1.5482936197671244
emocional,1,1,-0.12199903536411871,0.12199903536411871,0.0,,2,Guardian,1.5482936197671244
emocional,2,3,-0.03704412849065122,0.1768287947444529,0.9548848073823385,1.4454955407790375,3,Guardian,1.9358179876426855
emocional,3,1,-0.1924807860877128,0.1924807860877128,0.0,,2,Guardian,1.5621293139859316
emocional,4,1,-0.1944729151582807,0.1944729151582807,0.0,,2,Guardian,1.6005815629845952
emocional,5,1,-0.2816693756676085,0.2816693756676085,0.0,,1,Guardian,1.647980543357047
emocional,6,1,-0.26955871131923637,0.26955871131923637,0.0,,2,Guardian,1.7376971115114788
emocional,7,3,-0.05322023316165434,0.18517364787191726,0.9983578682470546,1.7847116430123386,5,Sentinel,2.1140301228211316
emocional,8,3,-0.01837052758238077,0.15400398167899446,0.9935426942585318,1.2583896328995716,3,Guardian,2.0258986555898733
emocional,9,10,0.09644733107396394,0.12378697416299018,0.6419771595252441,0.3929188154907923,8,Guardian,1.8990105110430744
emocional,10,1,-0.17602907189362682,0.17602907189362682,0.0,,2,Guardian,1.6677772231080772
emocional,11,4,-0.0026871964403140866,0.17184988465631526,0.7107253611635391,0.07810494592817298,3,Guardian,1.7916586176651212
emocional,12,3,-0.04068833740106461,0.1973858779850386,0.6811211272628299,2.7970228582032393,4,Guardian,1.9067194218918089
emocional,13,3,-0.039363712654111704,0.16012821512332623,0.7215581787042036,2.9966333293667895,3,Guardian,1.8652076283011811
emocional,14,1,-0.2907248373055902,0.2907248373055902,0.0,,1,Guardian,1.6827099162878207
emocional,15,3,-0.0864680754258762,0.17332738468529238,0.8967977897584118,1.7570198397046755,3,Guardian,1.8958322167957549
emocional,16,1,-0.07515468940417325,0.07515468940417325,0.0,,2,Guardian,1.6197034850856058
emocional,17,1,-0.29326146391079255,0.29326146391079255,0.0,,2,Guardian,1.615670123025131
emocional,18,1,-0.1757795477950359,0.1757795477950359,0.0,,1,Guardian,1.5238547584608781
emocional,19,3,-0.05526560343165244,0.18953538595130281,0.8330912213692419,2.0034218931009944,3,Guardian,1.8123181265191095
emocional,20,1,-0.1789392545537969,0.1789392545537969,0.0,,2,Guardian,1.5482936197671244
emocional,21,4,-0.02872221609492072,0.16700019241820419,0.7873103568811678,0.2244442566388227,3,Guardian,1.7916586176651212
emocional,22,3,-0.08039735445118706,0.2141422652970344,0.957441167096504,1.7689011120390443,3,Guardian,1.9140922865745589
emocional,23,3,-0.0728453773915744,0.19814859105375016,0.6081233520626449,2.4600270161086724,4,Guardian,1.8768133758653622
emocional,24,3,-0.0524125300236841,0.17981685677491344,0.6738880588786175,2.6790019963752556,4,Guardian,1.9596565336430047
emocional,25,3,-0.07242624246102534,0.16933790113552738,0.8001629487363462,1.8394449523086398,3,Guardian,1.9358179876426855
emocional,26,4,-0.022463542549363842,0.12774860254421605,0.6030171194308898,0.14420969133169115,3,Guardian,1.7916586176651212
emocional,27,3,0.007398573323141311,0.17098232279170913,0.9289056487534364,1.0399103397321403,4,Guardian,2.0505238407095012
emocional,28,2,0.033534031232819034,0.11451663366242901,0.0,1.5155948073504297,3,Guardian,1.838169279204506
emocional,29,4,0.06629186333968548,0.13595241505038871,0.8362676999000003,0.09711872088367274,2,Guardian,1.648008879297092
